date,equipmentName,reservedQty
2026-03-28,CDJ-3000,4
2026-03-28,DJM-A9,1
2026-04-03,DJM-A9,1
2026-04-04,DJM-A9,1
2026-04-09,DJM-A9,1
2026-04-17,CDJ-3000,2
2026-04-17,DJM-A9,1
2026-04-18,CDJ-3000,2
2026-04-18,DJM-A9,1
2026-04-18,CDJ-3000,2
2026-04-24,CDJ-3000,2
2026-04-24,DJM-A9,1
2026-04-25,DJM-A9,1
2026-05-01,DJM-A9,1
2026-05-02,DJM-A9,1
2026-05-08,CDJ-3000,2
2026-05-08,DJM-A9,1
2026-05-09,XDJ-RX3,1
2026-05-09,DJM-A9,1
2026-05-13,XDJ-RX3,1
2026-05-16,CDJ-3000,4
2026-05-16,DJM-A9,1
2026-05-22,DJM-A9,1
2026-05-22,DJM-A9,1
2026-05-23,CDJ-3000,2
2026-05-23,DJM-A9,1
2026-05-23,XDJ-RX3,1
2026-05-29,CDJ-3000,4
2026-05-30,CDJ-3000,4
2026-05-30,DJM-A9,1
2026-06-05,CDJ-3000,2
2026-06-05,DJM-A9,1
2026-06-12,CDJ-3000,2
2026-06-13,CDJ-3000,2
2026-06-14,CDJ-3000,2
2026-06-27,DJM-A9,1
2026-07-04,CDJ-3000,4
2026-07-04,DJM-A9,1
